epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.4982142746448517,0.48887792229652405,9.999999747378752e-05,1.0708578824996948,0.4982142746448517,0.4982142746448517,0.4937500059604645,0.46580079197883606,0.6942572593688965,0.4937500059604645,0.4937500059604645
1,0.48750001192092896,0.4995547831058502,9.999999747378752e-05,0.9809693694114685,0.48750001192092896,0.48750001192092896,0.5,0.45244139432907104,0.6961267590522766,0.5,0.5
2,0.4910714328289032,0.4879300892353058,9.999999747378752e-05,0.9909572005271912,0.4910714328289032,0.4910714328289032,0.5,0.45273923873901367,0.7186490893363953,0.5,0.5
3,0.46339285373687744,0.45882177352905273,9.999999747378752e-05,1.0344667434692383,0.46339285373687744,0.46339285373687744,0.5,0.4663720428943634,0.7012032270431519,0.5,0.5
4,0.5,0.5158351063728333,9.999999747378752e-05,0.9555273056030273,0.5,0.5,0.5,0.47028809785842896,0.7001137137413025,0.5,0.5
5,0.4955357015132904,0.5100179314613342,9.999999747378752e-05,0.9542540311813354,0.4955357015132904,0.4955357015132904,0.5,0.46269530057907104,0.6961734890937805,0.5,0.5
6,0.5026785731315613,0.5055684447288513,4.999999873689376e-05,0.9658380746841431,0.5026785731315613,0.5026785731315613,0.5,0.4959960877895355,0.693510890007019,0.5,0.5
7,0.5196428298950195,0.519031822681427,4.999999873689376e-05,0.9229912757873535,0.5196428298950195,0.5196428298950195,0.5,0.4917285144329071,0.6949119567871094,0.5,0.5
8,0.4669642746448517,0.46763113141059875,4.999999873689376e-05,0.9593697786331177,0.4669642746448517,0.4669642746448517,0.5,0.5012744665145874,0.6964305639266968,0.5,0.5
9,0.5133928656578064,0.5087531805038452,4.999999873689376e-05,0.9238466620445251,0.5129579901695251,0.512499988079071,0.5,0.5245654582977295,0.6947885751724243,0.5,0.5
10,0.4937500059604645,0.4907609224319458,4.999999873689376e-05,0.9226388931274414,0.4937500059604645,0.4937500059604645,0.5,0.5562939047813416,0.6926159858703613,0.5,0.5
11,0.47232142090797424,0.47786667943000793,4.999999873689376e-05,0.9333695769309998,0.47274351119995117,0.47232142090797424,0.5,0.5640820264816284,0.6920549869537354,0.5,0.5
12,0.49464285373687744,0.4880070090293884,4.999999873689376e-05,0.9362868070602417,0.4950849115848541,0.49464285373687744,0.5,0.5277099609375,0.6941128969192505,0.5,0.5
13,0.5017856955528259,0.5012475848197937,4.999999873689376e-05,0.9143494963645935,0.5017856955528259,0.5017856955528259,0.503125011920929,0.5725195407867432,0.6898255944252014,0.5111111402511597,0.503125011920929
14,0.5035714507102966,0.5195862650871277,4.999999873689376e-05,0.8804381489753723,0.5031278133392334,0.5026785731315613,0.515625,0.553295910358429,0.6902193427085876,0.5175718665122986,0.5062500238418579
15,0.5107142925262451,0.5076219439506531,4.999999873689376e-05,0.900787889957428,0.5107142925262451,0.5107142925262451,0.528124988079071,0.5550879240036011,0.6905758380889893,0.5284810066223145,0.5218750238418579
16,0.46785715222358704,0.47420158982276917,4.999999873689376e-05,0.9480475187301636,0.4677996337413788,0.4669642746448517,0.534375011920929,0.54395991563797,0.6912103295326233,0.5352563858032227,0.5218750238418579
17,0.5116071701049805,0.5099079012870789,4.999999873689376e-05,0.8790352940559387,0.5125448107719421,0.5107142925262451,0.574999988079071,0.5688378810882568,0.6910144090652466,0.5754716992378235,0.5718749761581421
18,0.47232142090797424,0.47951769828796387,4.999999873689376e-05,0.8999429941177368,0.4713774621486664,0.4705357253551483,0.515625,0.6102197170257568,0.6885887384414673,0.5188679099082947,0.515625
19,0.5008928775787354,0.5019435286521912,4.999999873689376e-05,0.8929215669631958,0.5008928775787354,0.5008928775787354,0.503125011920929,0.5963183641433716,0.6898374557495117,0.503125011920929,0.503125011920929
20,0.4955357015132904,0.49198541045188904,4.999999873689376e-05,0.8992200493812561,0.4955357015132904,0.4955357015132904,0.5,0.6260595321655273,0.6917825937271118,0.5,0.5
21,0.49642857909202576,0.5039923191070557,4.999999873689376e-05,0.8868841528892517,0.4964221715927124,0.4955357015132904,0.5,0.6105322241783142,0.6921448707580566,0.5,0.5
22,0.5,0.48944076895713806,4.999999873689376e-05,0.9076169729232788,0.5,0.5,0.512499988079071,0.5951074361801147,0.6895138621330261,0.512499988079071,0.512499988079071
23,0.48571428656578064,0.4940170347690582,4.999999873689376e-05,0.8785873055458069,0.48571428656578064,0.48571428656578064,0.5562499761581421,0.6154589653015137,0.6890501976013184,0.5579937100410461,0.5562499761581421
24,0.5133928656578064,0.5196631550788879,2.499999936844688e-05,0.8525962233543396,0.5134168267250061,0.512499988079071,0.5062500238418579,0.6086279153823853,0.688543438911438,0.5062500238418579,0.5062500238418579
